MA1739.1	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA0958.1	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA0957.1	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA0962.1	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA1740.1	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA1364.1	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA1360.2	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA0963.1	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA0964.2	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA0965.2	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA0966.1	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA1404.1	BBR/BPC	JASPAR_plants
MA1403.1	BBR/BPC	JASPAR_plants
MA1402.1	BBR/BPC	JASPAR_plants
MA1359.2	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA1741.1	GCM domain factors	JASPAR_plants
MA1334.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1349.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1742.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1743.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1344.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1340.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1744.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1350.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1339.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1337.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1345.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1343.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1341.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA0967.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1745.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA0968.2	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA1746.1	Basic leucine zipper factors (bZIP)	JASPAR_plants
MA0550.2	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA0549.1	Basic helix-loop-helix factors (bHLH)	JASPAR_plants
MA1197.1	CAMTA	JASPAR_plants
MA0969.1	CAMTA	JASPAR_plants
MA0970.1	CAMTA	JASPAR_plants
MA0972.1	Tryptophan cluster factors	JASPAR_plants
MA0579.1	Tryptophan cluster factors	JASPAR_plants
MA0973.1	Other C4 zinc finger-type factors	JASPAR_plants
MA0974.2	Other C4 zinc finger-type factors	JASPAR_plants
MA1268.1	Other C4 zinc finger-type factors	JASPAR_plants
